2018-03-15 19:23:36,040 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-15 19:29:30,485 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ProjExemploBanco:ProjExemploBanco:0.0.1-SNAPSHOT @ /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/pom.xml.
2018-03-15 19:29:32,355 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 19:29:32,550 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-15 19:29:32,603 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 19:29:32,604 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/src/test/resources
2018-03-15 19:29:34,169 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ProjExemploBanco:ProjExemploBanco:0.0.1-SNAPSHOT @ /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/pom.xml.
2018-03-15 19:29:35,673 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 19:29:35,683 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 19:29:35,708 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 19:29:35,714 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/src/test/resources
2018-03-15 20:36:06,266 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-15 21:02:00,249 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-15 21:04:02,943 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ProjExemploBanco:ProjExemploBanco:0.0.1-SNAPSHOT @ /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/pom.xml.
2018-03-15 21:04:04,234 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 21:04:04,428 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-15 21:04:04,960 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 21:04:04,961 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/src/test/resources
2018-03-15 21:04:06,678 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ProjExemploBanco:ProjExemploBanco:0.0.1-SNAPSHOT @ /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/pom.xml.
2018-03-15 21:04:08,114 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 21:04:08,150 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 21:04:08,159 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 21:04:08,159 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bruna/Documentos/Sistemas Distribuídos/Aula 4/ProjExemploBanco/src/test/resources
